	time (ns)	angle (degree)	average angle	angle standard deviation
699	1199.000	10.744	7.386	1.516
700	1200.000	7.463	7.311	1.544
701	1201.000	9.331	7.142	1.636
702	1202.000	6.813	7.068	1.673
703	1203.000	4.935	6.987	1.790
704	1204.000	8.340	6.835	1.814
705	1205.000	7.225	6.827	1.810
706	1206.000	8.871	6.777	1.771
707	1207.000	6.141	6.787	1.774
708	1208.000	3.579	6.703	1.745
709	1209.000	5.788	6.754	1.790
710	1210.000	6.732	6.717	1.772
711	1211.000	5.864	6.719	1.773
712	1212.000	5.863	6.549	1.563
713	1213.000	4.284	6.576	1.584
714	1214.000	5.392	6.537	1.525
715	1215.000	3.617	6.596	1.564
716	1216.000	4.747	6.804	1.676
717	1217.000	7.519	6.898	1.826
718	1218.000	7.486	7.078	2.065
719	1219.000	7.309	7.093	2.080
720	1220.000	6.284	7.191	2.091
721	1221.000	8.860	7.420	1.989
722	1222.000	7.063	7.522	1.967
723	1223.000	7.721	7.599	1.973
724	1224.000	6.498	7.685	1.941
725	1225.000	8.131	7.840	1.944
726	1226.000	8.371	7.979	1.798
727	1227.000	8.270	7.995	1.776
728	1228.000	10.145	8.102	1.569
729	1229.000	10.694	8.073	1.640
730	1230.000	11.718	7.911	1.878
731	1231.000	9.255	7.832	1.938
732	1232.000	8.587	7.731	2.030
733	1233.000	9.290	7.685	2.076
734	1234.000	8.340	7.509	2.157
735	1235.000	8.673	7.533	2.155
736	1236.000	8.001	7.532	2.155
737	1237.000	9.745	7.603	2.149
738	1238.000	7.749	7.618	2.154
739	1239.000	5.796	7.547	2.157
740	1240.000	6.302	7.530	2.153
741	1241.000	4.009	7.386	2.090
742	1242.000	3.486	7.169	2.013
743	1243.000	5.495	6.961	1.778
744	1244.000	4.793	6.955	1.770
745	1245.000	5.135	6.776	1.824
746	1246.000	4.464	6.631	1.758
747	1247.000	7.651	6.494	1.753
748	1248.000	7.702	6.288	1.788
749	1249.000	8.287	6.153	1.781
750	1250.000	8.483	6.023	1.619
751	1251.000	6.605	6.035	1.633
752	1252.000	7.857	5.984	1.660
753	1253.000	6.533	6.023	1.680
754	1254.000	5.271	6.268	1.814
755	1255.000	6.508	6.460	1.761
756	1256.000	9.106	6.456	1.764
757	1257.000	4.118	6.507	1.732
758	1258.000	5.657	6.606	1.721
759	1259.000	4.931	6.781	1.716
