	time (ns)	angle (degree)	average angle	angle standard deviation
482	982.000	8.370	8.421	1.786
483	983.000	6.288	8.274	1.766
484	984.000	6.587	8.270	1.766
485	985.000	6.898	8.206	1.679
486	986.000	6.138	8.303	1.723
487	987.000	7.730	8.369	1.810
488	988.000	6.079	8.347	1.784
489	989.000	7.446	8.215	1.702
490	990.000	9.134	8.207	1.688
491	991.000	9.726	8.160	1.632
492	992.000	7.016	8.342	1.651
493	993.000	6.027	8.436	1.706
494	994.000	8.560	8.428	1.705
495	995.000	6.742	8.428	1.705
496	996.000	8.574	8.549	1.653
497	997.000	9.681	8.643	1.603
498	998.000	10.203	8.670	1.578
499	999.000	11.416	8.731	1.504
500	1000.000	10.207	8.786	1.491
501	1001.000	7.671	8.907	1.381
502	1002.000	10.964	8.935	1.356
503	1003.000	9.487	8.924	1.356
504	1004.000	10.689	8.940	1.368
505	1005.000	10.512	9.043	1.313
506	1006.000	8.553	9.132	1.167
507	1007.000	8.372	9.187	1.171
508	1008.000	9.306	9.384	1.156
509	1009.000	8.956	9.429	1.145
510	1010.000	7.562	9.519	1.250
511	1011.000	7.671	9.534	1.261
512	1012.000	9.105	9.535	1.263
513	1013.000	9.093	9.581	1.309
514	1014.000	8.150	9.688	1.254
515	1015.000	8.846	9.551	1.296
516	1016.000	10.128	9.516	1.310
517	1017.000	9.589	9.478	1.288
518	1018.000	8.263	9.440	1.270
519	1019.000	9.933	9.464	1.258
520	1020.000	11.658	9.515	1.237
521	1021.000	9.703	9.588	1.278
522	1022.000	11.939	9.645	1.281
523	1023.000	10.584	9.857	1.357
524	1024.000	11.438	10.042	1.363
525	1025.000	11.362	10.152	1.394
526	1026.000	10.346	10.201	1.376
527	1027.000	7.529	10.270	1.311
528	1028.000	8.615	10.440	1.393
529	1029.000	9.730	10.477	1.397
530	1030.000	9.570	10.609	1.464
531	1031.000	9.148	10.635	1.426
532	1032.000	9.642	10.643	1.422
533	1033.000	11.136	10.495	1.502
534	1034.000	10.392	10.368	1.695
535	1035.000	12.854	10.255	1.680
536	1036.000	12.305	10.109	1.804
537	1037.000	11.842	9.918	1.907
538	1038.000	10.310	9.775	1.929
539	1039.000	9.875	9.671	1.965
540	1040.000	13.118	9.744	1.916
541	1041.000	11.042	9.780	1.902
542	1042.000	12.886	9.714	1.932
543	1043.000	8.907	9.560	2.091
544	1044.000	10.142	9.528	2.104
545	1045.000	7.958	9.472	2.119
546	1046.000	6.516	9.356	2.104
547	1047.000	9.121	9.352	2.102
548	1048.000	6.937	9.201	1.972
549	1049.000	6.664	9.013	1.886
550	1050.000	7.782	8.881	1.793
551	1051.000	7.764	8.808	1.769
552	1052.000	9.351	8.730	1.763
553	1053.000	9.496	8.556	1.509
554	1054.000	8.102	8.487	1.427
555	1055.000	5.709	8.403	1.202
556	1056.000	8.346	8.436	1.227
557	1057.000	8.253	8.401	1.188
558	1058.000	8.222	8.386	1.197
559	1059.000	10.292	8.422	1.151
560	1060.000	9.092	8.395	1.142
561	1061.000	7.588	8.493	1.116
562	1062.000	8.544	8.403	1.339
563	1063.000	8.505	8.386	1.350
564	1064.000	7.911	8.329	1.407
565	1065.000	8.772	8.195	1.463
566	1066.000	9.318	8.089	1.461
567	1067.000	10.786	8.134	1.480
568	1068.000	9.732	8.334	1.475
569	1069.000	9.272	8.328	1.475
